,Unnamed: 0,COW,Old Coup ID#,New Coup ID#,country,month,day,year,coup_id,event,Milan Description,realized,Unrealized,Removed/ Targeted Name,Removed Title/ Position,Initiator/ Suspected,Ascended Name/ Suspected,Ascended/ Suspected Title/ Position,Event Summary,iso2,continent,datetime,date
171,172,811.0,81131870,81103181970.0,Cambodia,3,18,1970,Palace Coup,coup,0,Yes,0.0,Sihanouk,royal leader,Lon Nol and the legislature,Lon Nol,prime minister,Lon Nol and the Cambodian legislature voted to dethrone Prince Sihanouk and declare Cambodia a republic.,KH,AS,1970-03-01,1970-3
172,173,811.0,81131172,81103111972.0,Cambodia,3,11,1972,Auto-Coup,coup,0,Yes,0.0,Cheng Heng,president,Lon Nol,Lon Nol,president,"Nol took advantage of a crisis to remove Heng from the presidency and assumed it himself, further consolidating his executive power in the nation.",KH,AS,1972-03-01,1972-3
173,174,811.0,8114175,81104011975.0,Cambodia,4,1,1975,Civil War,coup,Civil War,Yes,0.0,Lon Nol,president,Khmer Rouge Rebels,Saukam Khoy,acting president,Nol resigned and fled Cambodia as the Khmer rebels laid seige to Phom Penh. His regime persisted with a series of short lived military leaders but at this point the rebels had already take control of the capital.,KH,AS,1975-04-01,1975-4
174,175,811.0,8119.1975,81109001975.0,Cambodia,9,0,1975,0,attempted coup,0,No,1.0,Pol Pot,party chairman,not known,.,.,An attempted coup against the Pol Pot revolutionary regime was initiated by unknown individuals. The reasons and consequences are not known.,KH,AS,1975-09-01,1975-9
175,176,811.0,8114.1976,81104001976.0,Cambodia,4,0,1976,0,attempted coup,0,No,1.0,Pol Pot,party chairman,unspecified,.,.,Unspecified individuals attempted to topple the revolutionary regime of Pol Pot. The reasons and consequences are not known.,KH,AS,1976-04-01,1976-4
176,177,811.0,8119.1976,81109001976.0,Cambodia,9,0,1976,0,attempted coup,0,No,1.0,Pol Pot,party chairman,unspecified,.,.,Unspecified individuals attempted to topple the revolutionary regime of Pol Pot. The reasons and consequences are not known.,KH,AS,1976-09-01,1976-9
177,178,811.0,8114.1977,81104001977.0,Cambodia,4,0,1977,0,attempted coup,0,No,1.0,Pol Pot,party chairman,unspecified,.,.,Unspecified individuals attempted to topple the revolutionary regime of Pol Pot. The reasons and consequences are not known.,KH,AS,1977-04-01,1977-4
178,179,811.0,8119.1977,81109001977.0,Cambodia,9,0,1977,0,attempted coup,0,No,1.0,Pol Pot,party chairman,unspecified,.,.,Unspecified individuals attempted to topple the revolutionary regime of Pol Pot. The reasons and consequences are not known.,KH,AS,1977-09-01,1977-9
179,180,811.0,8112.1978,81102001978.0,Cambodia,2,0,1978,0,attempted coup,0,No,1.0,Pol Pot,party chairman,administrators of 4 provinces,.,.,The administrators of four provinces attempted to overthrow the Pol Pot regime. The reasoning and the consequences are unknown.,KH,AS,1978-02-01,1978-2
180,181,811.0,8115.1978,81105001978.0,Cambodia,5,0,1978,0,attempted coup,0,No,1.0,Pol Pot,party chairman,unspecified,.,.,Unspecified individuals attempted to topple the revolutionary regime of Pol Pot. The reasons and consequences are not known.,KH,AS,1978-05-01,1978-5
181,182,811.0,8111779,81101071979.0,Cambodia,1,7,1979,Foreign,coup,foreign,Yes,0.0,Pol Pot,party chairman,military forces of Vietnam,Heng Samrim,party chairman,Vietnam invaded Cambodia and deposed the Khmer Republic and Pol Pot from power. They installed Samrim as occupation force leader.,KH,AS,1979-01-01,1979-1
182,183,811.0,81172791,81107271991.0,Cambodia,7,27,1991,0,attempted coup,0,No,1.0,Heng Samrim,party chairman,Chea Sim,.,.,Chea sim attempted to remove Samrim from the party chair post. Samrim was only temporarily successful in delaying Chea's takeover.,KH,AS,1991-07-01,1991-7
183,184,811.0,811101591,81110151991.0,Cambodia,10,15,1991,Civil War,coup,Civil War,Yes,0.0,Hun Sen,premier,United Nations peace accords,Shinaouk,premier,Civil war peace accords established by UN and regional nations interest forced the step down of Hun Sen as premier and the ascension of Sinaouk to the executive.,KH,AS,1991-10-01,1991-10
184,185,811.0,8117.1994,81107001994.0,Cambodia,7,0,1994,0,conspiracy coup,0,No,1.0,Ranariddh,premier,"Norodom Chakkra Pong, Gen. Sin Song",.,.,"Norodom Chakkra, son of Shinaouk, was exiled from the country after allegedly plotting to overthrow Ranariddh with a group of civilians and military. The specific reasons for the coup are not known and Chakkra denies ever plotting it.",KH,AS,1994-07-01,1994-7
185,186,811.0,8117697,81107061997.0,Cambodia,7,6,1997,Coup,coup,Coup,Yes,0.0,Ranariddh,interim executive co-chairman,military and civilian forces controlled by Hun Sen,Hun Sen,prime minister,A disagreement between the two co-heads of state devolved into an armed conflict. President Ranariddh and the royalist faction were ousted because of their alleged involvement with the Khmer rebels and Hun Sen stepped up as sole executive leader.,KH,AS,1997-07-01,1997-7
186,187,811.0,811112400,81111242000.0,Cambodia,11,24,2000,0,attempted coup,0,No,,Hun Sen,prime minister,Chhun Yasith,.,.,Chhun ordered his followers to launch an attack on the capital with the aim of overthrowing the government. The attack was lethal but failed to unseat Sen. Chhun's followers were arrested or killed while Chhun initially escaped. He was tried in the United States and recieved a life sentence.,KH,AS,2000-11-01,2000-11
188,189,482.0,4821166,48201011966.0,Central African Republic,1,1,1966,Coup,coup,Coup,Yes,0.0,David Dacko,president,General Bokassa,Bokassa,president/dictator,"Corruption, poor economic performance and rebellion plagued the Central African Republic and these factors helped to precipitate a coup by General Bokassa against president Dacko and took power in its aftermath.",CF,AF,1966-01-01,1966-1
189,190,482.0,4824.1969,48204001969.0,Central African Republic,4,0,1969,0,attempted coup,0,No,1.0,Bokassa,president/dictator,Alexandre Banza and military officers,.,.,"Col. Banza, a former government official in the Bokassa administration and friend of Bokassa, attempted a coup with the aid of armed forces members. His coup was put down and Banza was sentenced to a firing squad.",CF,AF,1969-04-01,1969-4
190,191,482.0,48211.1974,48211001974.0,Central African Republic,11,0,1974,0,attempted coup,0,No,,Bokassa,president/dictator,incl. Gen. Lingoupon,.,.,Bokassa survived a coup attempt led by General Lingoupon and others. The reasons and consequences are not known.,CF,AF,1974-11-01,1974-11
191,192,482.0,4822179,48209211979.0,Central African Republic,9,21,1979,Foreign,coup,Coup,Yes,0.0,Bokassa,president/dictator,French military forces,David Dacko,president,After Bokassa participated in a massacre of school children the French government decided to remove Bokassa and launched a commando attack against him. Dacko returned to the presidency.,CF,AF,1979-09-01,1979-9
192,193,482.0,4829181,48209011981.0,Central African Republic,9,1,1981,Coup,coup,Coup,Yes,0.0,David Dacko,president,General André Kolingba,Kolingba,president/dictator,General Kolingba ousted President Dacko in a bloodless coup and took the presidency for himself.,CF,AF,1981-09-01,1981-9
193,194,482.0,4823382,48203031982.0,Central African Republic,3,3,1982,0,attempted coup,0,No,,Kolingba,president/dictator,"Ange Patasse, Gen. Alphonse Mbaikoua, Gen. Francios Bozize",.,.,"Minster of Information General Bozize, Patasse, and Mbaikoua attempted to overthrow Kolingba. The coup ended when additional military forces did not join their coup. The reasoning behind the coup, outside of pure power grab, is not known. The leaders self-exiled after the failure of the attempt.",CF,AF,1982-03-01,1982-3
194,195,482.0,482111596,48211151996.0,Central African Republic,11,15,1996,0,attempted coup,0,No,,Kolingba,president/dictator,unspecified (army mutiny),.,.,Kolingba faced a coup attempt as part of an army mutiny. The reasons behind the mutiny or its evolution to a coup is not known. The consequences are not known.,CF,AF,1996-11-01,1996-11
195,196,482.0,48252801,48205282001.0,Central African Republic,5,28,2001,0,attempted coup,0,No,,Ange-Felix Patasse,president,Andre Kolingba (alleged),.,.,Andre Kolingba led a coup against Pattase. The exact reasoning is unknown. Kolingba fled to Uganda to avoid prosecution for the attempt.,CF,AF,2001-05-01,2001-5
197,198,482.0,48231503,48203152003.0,Central African Republic,3,15,2003,Coup,coup,0,Yes,0.0,Ange-Felix Patasse,president,General Francois Bozize,Bozize,president/dictator,General Bozize and a militia from Chad invaded country and seized the capital. Patasse was out of the country at the time and no efforts were made to restore him to power. Bozize seized effective power.,CF,AF,2003-03-01,2003-3
198,199,483.0,48332263,48303221963.0,Chad,3,22,1963,0,conspiracy coup,0,No,1.0,Francois Tombalbaye,president,"Nassour, Abdelkrim, Alatchimi, Bono, Hassane, Kosso, and 86 others",.,.,Many individuals allegedly conspired to overthrow the Tombabayle regime. The reasons and consequences are not known.,TD,AF,1963-03-01,1963-3
199,200,483.0,483111965,48311191965.0,Chad,11,19,1965,0,conspiracy coup,0,No,1.0,Francois Tombalbaye,president,"Robert Delsia Soussia, Mahamat Baroud, Mahamat el Goni",.,.,A revolt over taxes was identified as a conspiracy to overthrow the government. The revolt continued into a civil war. The consequences of the war was as prolonged brutal struggle.,TD,AF,1965-11-01,1965-11
200,201,483.0,48382671,48308261971.0,Chad,8,26,1971,0,attempted coup,0,No,1.0,Francois Tombalbaye,president,Ahmed Abdallah with Libyan support,.,.,"A coup launched by rehabilitated rebels with Libyan support was halted by the Tombabyle government. In response, both governments increased support to their irregular fighters aimed at the other government.",TD,AF,1971-08-01,1971-8
201,202,483.0,48341375,48304131975.0,Chad,4,13,1975,Coup,coup,Coup,Yes,0.0,Francois Tombalbaye,president,armed forces led by General Felix Malloum,General Noel Odingar,junta leader,"President Tombalbaye was killed and his regime overthrown by an angry group of military officers amid a drought, an economic crisis, and a reshuffling of military staff. General Odingar was placed at the head of a military junta.",TD,AF,1975-04-01,1975-4
202,203,483.0,48341575,48304151975.0,Chad,4,15,1975,Palace Coup/Auto Coup,coup,Coup,Yes,0.0,General Noel Odingar,junta leader,Military junta/General Malloum,Felix Malloum,junta leader/president,"After the coup, General Malloum asserted himself and became the head of the military junta and president.",TD,AF,1975-04-01,1975-4
203,204,483.0,48341376,48304131976.0,Chad,4,13,1976,0,attempted coup,0,No,,Felix Malloum,junta leader/president,Hassan Abakar Adef (Frolinat),.,.,Malloum survived an assassination and coup attempt from FRONLNAT Libyan-backed guerillias.,TD,AF,1976-04-01,1976-4
204,205,483.0,4834177,48304011977.0,Chad,4,1,1977,0,attempted coup,0,No,,Felix Malloum,junta leader/president,SubLt. Brahim Abakar Koumba,.,.,Koumba and 37 other soldiers launched a military rebellion. 8 people died when loyal military forces suppressed the failed coup.,TD,AF,1977-04-01,1977-4
205,206,483.0,48332379,48303231979.0,Chad,3,23,1979,Civil War,coup,Civil War,Yes,0.0,Felix Malloum,junta leader/president,foreign intervention/civil war peace agreement,Goukouni Oueddei,interim leader,"Nigeria intervened in the civil conflict in Chad and arranged a new peace agreement. The agreement stipulated Malloum's resignation, which was carried out, and Goukouni assumed power in a transititional regime.",TD,AF,1979-03-01,1979-3
206,207,483.0,48342979,48304291979.0,Chad,4,29,1979,Civil War,coup,Civil War,Yes,0.0,Goukouni Oueddei,interim leader/head of state,peace making leadership body GUNT,Shawa,interim leader,"The Transitiional Government of National Unity (GUNT), a peace making body made up of four or more armed factions moved to remove Oueddei as its interim head and installed Shawa in his place.",TD,AF,1979-04-01,1979-4
207,208,483.0,48382279,48308221979.0,Chad,8,22,1979,Civil War,coup,Civil War,Yes,0.0,Shawa,interim leader/head of state,peace making leadership body GUNT,Goukouni Oueddei,interim leader/head of state,Further peacemaking troubles and conflict led to the GUNT replacing Shawa with Oueddei as its interim leader.,TD,AF,1979-08-01,1979-8
208,209,483.0,4836782,48306071982.0,Chad,6,7,1982,Civil War,coup,Civil War,Yes,0.0,Goukouni Oueddei,interim leader/head of state,FAN/Habre loyalist militias/ former prime minister and rebel leader Hissene Habre,Hissene Habre,dictator,Oueddei proved to be an ineffective leader and peacemaker and Habre-led FAN rebels drove him out of power. Habre took power several days later in the chaos.,TD,AF,1982-06-01,1982-6
209,210,483.0,4834189,48304011989.0,Chad,4,1,1989,0,attempted coup,0,No,1.0,Hissene Habre,dictator,"Brahim Itno, Hassan Djamoussi, Idriss Deby",.,.,Military and civilian elements rose up in a rebellion against Habre. The military suppressed it violently. The reasons and consequences for the rebellion are not well known.,TD,AF,1989-04-01,1989-4
210,211,483.0,48312290,48312021990.0,Chad,12,2,1990,Civil War,coup,Civil War,Yes,0.0,Hissene Habre,dictator,Patriotic Salvation Movement rebels led by Idriss Deby,Idriss Deby,president/dictator,"The Patriotic Salvation Movement led by former Habre regime official Deby seized the capital, forcing Habre to flee and Deby ascended to power.",TD,AF,1990-12-01,1990-12
211,212,483.0,483101391,48310131991.0,Chad,10,13,1991,0,attempted coup,0,No,1.0,Idriss Deby,president/dictator,Maldom Bada Abbas,.,.,The interior minister Abbas inspired a military coup attempt. The attempt was suppressed with forty killed. The reasons and other consequences are not known.,TD,AF,1991-10-01,1991-10
212,213,483.0,4822192,48302211992.0,Chad,2,21,1992,0,attempted coup,0,No,1.0,Idriss Deby,president/dictator,unspecified,.,.,Unspecified individuals launched a coup against Deby. The plot failed. The reasoning and consequences are not clear.,TD,AF,1992-02-01,1992-2
213,214,483.0,48361892,48306181992.0,Chad,6,18,1992,0,attempted coup,0,No,1.0,Idriss Deby,president/dictator,Col. Abbas Koty,.,.,Col. Koty backed a rebellion by rioting opposition groups against Deby. The repression against the military and civilian attempt resulted in many dead.,TD,AF,1992-06-01,1992-6
214,215,483.0,48312793,48301271993.0,Chad,1,27,1993,0,attempted coup,0,No,1.0,Idriss Deby,president/dictator,Col. Toke,.,.,Col. Toke attempted a coup against Deby. The reasoning and consequences are not known.,TD,AF,1993-01-01,1993-1
215,216,155.0,155103148,15510311948.0,Chile,10,31,1948,0,conspiracy coup,0,No,1.0,Gabrial Gonzales Videla,president,Gen. Carlos Ibanez,.,.,Members of the armed forces plotted to remove Videla and install General Ibanez as president. The plot was broken up and several were arrested. The specific reason behind the plot is not known.,CL,SA,1948-10-01,1948-10
216,217,155.0,15510.1969,15510001969.0,Chile,10,0,1969,0,attempted coup,0,No,1.0,Eduado Montalva,president,military units,.,.,A miltary uprising aimed to drive President Montalva from power failed.,CL,SA,1969-10-01,1969-10
217,218,155.0,15532570,15503251970.0,Chile,3,25,1970,0,conspiracy coup,0,No,1.0,Eduado Montalva,president,current and former military officers,.,.,Former and active military officers were arrested for conspiring to overthrow the government.,CL,SA,1970-03-01,1970-3
219,220,155.0,15562973,15506291973.0,Chile,6,29,1973,0,attempted coup,0,No,1.0,Salvador Allende,president,armored military units,.,.,A military commander sent tanks into the streets in an attempt overthrow Allende. His efforts were not supported by the rest of the armed forces and he quickly surrendered.,CL,SA,1973-06-01,1973-6
220,221,155.0,15591173,15509111973.0,Chile,9,11,1973,Coup,coup,Coup,Yes,0.0,Salvador Allende,president,military officers,General Augusto Pinochet,dictator/military junta leader,General Pinochet and most of the Chilean military violently overthrew President Allende citing his socialist policies as cause for the coup. A junta was established in the aftermath and Pinochet quickly consolidated power within it.,CL,SA,1973-09-01,1973-9
221,222,155.0,15510.1975,15510001975.0,Chile,10,0,1975,0,conspiracy coup,0,No,1.0,Pinochet,dictator/president,international communists,.,.,President Pinochet cited that International Communist forces were plotting to overthrow his government.,CL,SA,1975-10-01,1975-10
222,223,710.0,71012149,71001211949.0,China,1,21,1949,Civil War,coup,Civil War,Yes,0.0,Chiang Khei-Shek,president/premier,Communist Revolutionaries,Li Tsung Jen,acting president,Chiang Kai Shek gave up power as a peacemaking concession to the communist rebels. Power was handed over to his vice president Li Tsung Jen.,CN,AS,1949-01-01,1949-1
223,224,710.0,71010149,71010011949.0,China,10,1,1949,Civil War,coup,Civil War,Yes,0.0,Li Tsung Jen,acting president,Communist Revolutionaries,Mao Se Tung,party chairman,The Communist Revolutionaries led by Mao Se Tung defeated the last strongholds of the Republic forces and established a transitional government placing himself at the head.,CN,AS,1949-10-01,1949-10
224,225,710.0,71012466,71012041966.0,China,12,4,1966,0,conspiracy coup,0,No,1.0,Mao Se Tung,party chairman,"Peng Chen, Lo Jui-ching, Lu Ting-yi, Yang Shang-kun",.,.,"Peng Chen and others allegedly began to disagree with Mao over a variety of state policies in the lead up to the Cultural Revolution. Eventually, Mao was forced to purge them from power as they allegedly conspired against him.",CN,AS,1966-12-01,1966-12
225,226,710.0,7109.1971,71009001971.0,China,9,0,1971,0,attempted coup,0,No,1.0,Mao Se Tung,party chairman,Lin Biao,.,.,"Lin Biao, chosen successor to Mao, led an attempted coup and assassination of Mao. The assassination failed and the rest of the coup failed to materialize and he was forced to flee China and died in a plane crash during his escape.",CN,AS,1971-09-01,1971-9
226,227,710.0,71091080,71009101980.0,China,9,10,1980,Palace Coup,coup,0,Yes,0.0,Hua Guofang,prime minister,Deng Xiaoping,prime minister,.,"In effort to reduce the concentration of executive power by Xiaoping, Hua Guofeng was removed from premiership, ending his hold on effective executive power.",CN,AS,1980-09-01,1980-9
227,228,100.0,10061353,10006131953.0,Colombia,6,13,1953,Coup,coup,Coup,Yes,0.0,Laureano Gomez,President,armed forces,Rojas Pinilla,military junta leader,"In the midst of political violence and repression Gomez removed several military officers. Angry over the removal and the on-going political turmoil, General Pinilla launched a coup and seized power from Gomez.",CO,SA,1953-06-01,1953-6
228,229,100.0,10051057,10005101957.0,Colombia,5,10,1957,Palace Coup,coup,Coup,Yes,0.0,Rojas Pinilla,military junta leader,armed forces and other junta members,Gabriel Pario,military junta leader,"A massive anti-Rojas rally frightened military leaders that if Rojas refused to step down, a popular revolution would ensue so Rojas was ousted in a coup. A new junta, led by General Pario was installed.",CO,SA,1957-05-01,1957-5
229,230,100.0,10010.1958,10010001958.0,Colombia,10,0,1958,0,conspiracy coup,0,Yes,0.0,Alberto Carmego,president,ex-General Rojas Pinilla,.,.,ex-military leader General Rojas Pinilla was exiled on the basis he was involved in a plot to overthrow the government.,CO,SA,1958-10-01,1958-10
230,231,581.0,5818375,58108031975.0,Comoros,8,3,1975,Coup,coup,Coup,Yes,0.0,Ahmed Abdallah,president,Bob Denard led foreign mercenaries,Said Jaffar,dictator,"President Ahmed Abdallah was overthrow by Bob Denard, a french mercenary likely working on behalf of Said Jaffar, the figure head behind a group of six opposition parties in Comoros. Jaffar seated himself at the head of the National Council of the Revolution.",KM,AF,1975-08-01,1975-8
231,232,581.0,5814276,58104021976.0,Comoros,4,2,1976,0,conspiracy coup,0,No,1.0,Ali Soilih,president,"Ali Mroudjae, Sald Hachim, Sald Bakar Tourqui",.,.,Several individuals allegedly conspired to overthrow the Soilih government. The reasons and consequences are not known.,KM,AF,1976-04-01,1976-4
232,233,581.0,5816477,58106041977.0,Comoros,6,4,1977,0,attempted coup,0,No,1.0,Ali Soilih,president,unspecified,.,.,Unspecified individuals attempted to overthrow the government. The reasons and consequences are not known.,KM,AF,1977-06-01,1977-6
233,234,581.0,58111478,58101141978.0,Comoros,1,14,1978,0,conspiracy coup,0,No,1.0,Ali Soilih,president,incl. Ali Mohamed,.,.,A group of individuals including Ali Mohamed conspired to oust Solilih. The reasons and consequences are unknown.,KM,AF,1978-01-01,1978-1
234,235,581.0,58151378,58105131978.0,Comoros,5,13,1978,Coup,coup,coup,Yes,0.0,Ali Soilih,president,Bob Denard led foreign mercenaries,Ahmed Abdallah,president,Ahmed Abdallah backed by France's approval hired mercenary Bob Denard to overthrow leftist President Ali Solith. Executive power was restored to Abdallah.,KM,AF,1978-05-01,1978-5
235,236,581.0,58121481,58102141981.0,Comoros,2,14,1981,0,conspiracy coup,0,No,1.0,Ahmed Abdallah,president,various,.,.,Various individuals alledgely conspired against Abdallah. The reasons and consequences are not known.,KM,AF,1981-02-01,1981-2
236,237,581.0,5813885,58103081985.0,Comoros,3,8,1985,0,attempted coup,0,No,1.0,Ahmed Abdallah,president,incl. Mustapha Said Cheikh,.,.,Local mercenary guard members revolted against their European handlers and government. They allied themselves with a nationalistic opposition party and tried to oust Abdallah. Other forces ended the attempt with violence.,KM,AF,1985-03-01,1985-3
237,238,581.0,581113087,58111301987.0,Comoros,11,30,1987,0,attempted coup,0,No,1.0,Ahmed Abdallah,president,members of Presidential Guard,.,.,"Allegedly members of the mercenary guard participated in a coup attempt involving freeing dissidents from custody. Then, the rest of the guard captured them and tortured them to death.",KM,AF,1987-11-01,1987-11
238,239,581.0,581112789,58111271989.0,Comoros,11,27,1989,Coup,coup,0,Yes,0.0,Haribon Chebani,acting president,Bob Denard led foreign mercenaries,Said Mohammud Djohar,president,Chebani briefly ascended to the presidency after the assassination of Abdallah but was quickly overthrown by Bob Denard. Djohar ascended to the presidency in the power vacuum.,KM,AF,1989-11-01,1989-11
239,240,581.0,5818391,58108031991.0,Comoros,8,3,1991,0,attempted coup,0,No,1.0,Said Mohammud Djohar,president,Ibrahim Ahmed Halidi,.,.,Ibrahim Ahmed Halidi attempted to overthrow Said through an illegal attempt to impeach him. The reasons and consequences are not known.,KM,AF,1991-08-01,1991-8
240,241,581.0,58192692,58109261992.0,Comoros,9,26,1992,0,attempted coup,0,No,1.0,Said Mohammud Djohar,president,"Lt. Abderamane Abdallah, Lt. Cheikh Abdallah",.,.,Two low level army officers attempted to overthrow president Said. The reasons and consequences are not known.,KM,AF,1992-09-01,1992-9
241,242,581.0,58192995,58109291995.0,Comoros,9,29,1995,Coup,coup,Coup,Yes,0.0,Said Mohammud Djohar,president,Bob Denard led foreign mercenaries,Ayouba Combo,interim leader,"Bob Denard struck a third time, this time overthrowing the regime of President Said Djohar.",KM,AF,1995-09-01,1995-9
242,243,581.0,58110595,58110051995.0,Comoros,10,5,1995,Foreign,coup,foreign,Yes,0.0,Abdoulkarim,president,French military forces,El-Yachroutu,interim leader,A French military intervention forced the removal of Abdoulkarim from the presidency and placed El-Yachroutu as an interim premier.,KM,AF,1995-10-01,1995-10
243,244,581.0,58143099,58104301999.0,Comoros,4,30,1999,Coup,coup,Coup,Yes,0.0,Massounde,prime minister,armed forces,A.Assoumani,military junta leader,Prime Minister Massoude decided to delay mandatory elections and was subsequently ousted in military coup. General Assoumani chaired the head the government afterwards.,KM,AF,1999-04-01,1999-4
244,245,581.0,58132100,58103212000.0,Comoros,3,21,2000,0,attempted coup,0,No,1.0,Azali Assoumani,president,Capt. Abderame Ahmed Abdallah,.,.,Capt. Abdallah attempted a coup against Azali. The reasons and consequences are not known.,KM,AF,2000-03-01,2000-3
245,246,484.0,48481563,48408151963.0,Congo,8,15,1963,Revolt,coup,revolt,Yes,0.0,Fulbert Youlou,prime minister,labor unions,David Moussaka,Officer in charge of the Provisional Government,Youlou's adminstration was plagued by disaffected left-wing youths and labor interests who's anger peaked when he threatened to outlaw political parties other than his own. He was overthrown in a revolt and replaced with short-lived provisional government.,CG,AF,1963-08-01,1963-8
246,247,484.0,48422667,48402261967.0,Congo,2,26,1967,0,conspiracy coup,0,No,1.0,Alphonse - Debat,president,Defense Civile,.,.,The security force Defense Civile allegedly plotted against Alphonse. The reasons and consequenes for the plot are not known.,CG,AF,1967-02-01,1967-2
247,248,484.0,48411768,48401171968.0,Congo,1,17,1968,0,attempted coup,0,No,1.0,Alphonse - Debat,president,unspecified,.,.,Unspecified individuals attempted to overthrow the Alphonse government. The reasons and consequences are not known.,CG,AF,1968-01-01,1968-1
248,249,484.0,48451368,48405131968.0,Congo,5,13,1968,0,attempted coup,0,No,1.0,Alphonse - Debat,president,commando group,.,.,"A commando group, possibly mercenaries attempted to overthrow the government. The reasons and consequences are not known.",CG,AF,1968-05-01,1968-5
249,250,484.0,4848468,48408041968.0,Congo,8,4,1968,Coup,coup,Coup,Yes,0.0,Alphonse - Debat,president,"Capt. Marien Ngouabi, Lt. Poignet",Augustin Poignet,interim president,President Debat was overthrown in a short-lived coup. Poignet was sworn in as an interim president for one day before Debat was allowed to return to power.,CG,AF,1968-08-01,1968-8
250,251,484.0,4849468,48409041968.0,Congo,9,4,1968,Coup,coup,Coup,Yes,0.0,Alphonse - Debat,president,Major Marien Ngouabi,Alfred Raoul,head of state/National Council of the Revolution member,Major Ngoubi overthrew Debat and briefly ruled as the chairman of the National Council of the Revolution before handing over power to Major Raoul who assumed the effective head of state.,CG,AF,1968-09-01,1968-9
251,252,484.0,4841169,48401011969.0,Congo,1,1,1969,Palace Coup,coup,Coup,Yes,0.0,Alfred Raoul,head of state/National Council of the Revolution member,National Council of the Revolution,Marien Ngouabi,head of state/National Council of the Revolution chairman,Ngouabi removed Raoul from the posistion of head of state and asserted the National Council of the Revolution to be the coutnry's authority. Ngouabi became effective leader as the chairman of the NCR.,CG,AF,1969-01-01,1969-1
252,253,484.0,48411869,48411081969.0,Congo,11,8,1969,0,attempted coup,0,No,1.0,Marien Ngouabi,head of state/National Council of the Revolution chairman,M. Bernard Kolela,.,.,M. Bernard Kolela attempted to overthrow Ngouabi. The reasons and consequences are not known.,CG,AF,1969-11-01,1969-11
253,254,484.0,4843.197,48403001970.0,Congo,3,0,1970,0,attempted coup,0,No,1.0,Marien Ngouabi,head of state/National Council of the Revolution chairman,military officers and former government ministers,.,.,Former head of state Captain Poignet and other former ministers were accused of attempted coup and punished by execution.,CG,AF,1970-03-01,1970-3
254,255,484.0,48432370,48403231970.0,Congo,3,23,1970,0,attempted coup,0,No,1.0,Marien Ngouabi,head of state/National Council of the Revolution chairman,Lt. Pierre Kikanga,.,.,Lt. Kikanga attempted a coup against Ngouabi. The reasons and consequences are not known.,CG,AF,1970-03-01,1970-3
255,256,484.0,48422272,48402221972.0,Congo,2,22,1972,0,attempted coup,0,No,1.0,Marien Ngouabi,head of state/National Council of the Revolution chairman,military officers and former government ministers,.,.,Several military officers and former officers attempted a coup and were punished by Ngouabi with execution.,CG,AF,1972-02-01,1972-2
256,257,484.0,48431877,48403181977.0,Congo,3,18,1977,0,attempted coup,0,No,1.0,Yhombi-Opango,head of state/party chairman,"Capt. K. Kadidi, Massemba-Debat",.,.,Capt. Kadidi and Massemba-Debat attempted a coup against Yhombi. The coup was not successful. The reasons and consequences are not known.,CG,AF,1977-03-01,1977-3
257,258,484.0,48481478,48408141978.0,Congo,8,14,1978,0,conspiracy coup,0,No,1.0,Yhombi-Opango,head of state/party chairman,"Mssrs. Miakassissa, Kolela, Finamantsiona, Mouzabakani",.,.,A group of civilians conspired to overthrow the government. The reasons and consequences are not known.,CG,AF,1978-08-01,1978-8
258,259,484.0,4842579,48402051979.0,Congo,2,5,1979,Palace Coup,coup,Coup,Yes,0.0,Yhombi-Opango,head of state/party chairman,Congolese Labor Party members,Military Committee of the Party,military junta,The civilian and military committees of the Marxist Congolese Labor Party ousted Opango for corruption and attempting to form a right-wing of the party. The Military Committee of Party junta ruled for several days.,CG,AF,1979-02-01,1979-2
259,260,484.0,4842879,48402081979.0,Congo,2,8,1979,Palace Coup,coup,Coup,Yes,0.0,Military Committee of the Party,military junta,Congolese Labor Party and Military Committee of the Party,Denis Nguesso,party and military junta chairman,"The civilian and military authorities approved Denis Nguesso's ascent to chairman of the party and junta, completing the coup against Opango.",CG,AF,1979-02-01,1979-2
260,261,484.0,484101597,48410151997.0,Congo,10,15,1997,Civil War,coup,Civil War,Yes,0.0,Pascal Lissouba,president,militias loyal to former president Nguesso and the Congolese Labor Party,Denis Nguesso,dictator,"When Pascal attempted to disband and politically engage militias loyal to Former President Nguesso, the militias responded by launching a civil war against the regime. Shortly there after the capital was reduced and Nguesso declared himself president. Although Lissouba fled and Nguesso consolidated, fighting persisted for several years.",CG,AF,1997-10-01,1997-10
261,262,484.0,48441005,48404102005.0,Congo,4,10,2005,0,conspiracy coup,0,No,1.0,Denis Nguesso,dictator,Capt. Pandi Ngouari; Nguila Mougounga Nkombo,.,.,Military and civilians conspired to overthrow Nguesso. The reasons and consequences for the plot are unknown.,CG,AF,2005-04-01,2005-4
262,263,94.0,9462546,9406251946.0,Costa Rica,6,25,1946,0,attempted coup,0,No,1.0,Teodoro Picado,president,unknown revolutionaries,.,.,An attempted revolution against the Picado government was put down with some fatalities.,CR,NA,1946-06-01,1946-6
